business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours_Monday,hours_Tuesday,hours_Wednesday,hours_Thursday,hours_Friday,hours_Saturday,hours_Sunday
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,19107.0,39.9555052,-75.1555641,4.0,80,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-21:00,07:00-21:00,07:00-21:00
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106.0,39.953949,-75.1432262,4.0,245,1,"Sushi Bars, Restaurants, Japanese",Closed,13:30-22:00,13:30-22:00,13:30-22:00,13:30-23:00,13:30-23:00,13:30-22:00
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147.0,39.943223,-75.162568,4.5,205,1,"Korean, Restaurants",11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,Closed
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147.0,39.9398245705,-75.1574465632,4.0,65,0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",16:00-00:00,16:00-00:00,16:00-00:00,12:00-00:00,12:00-02:00,11:00-02:00,11:00-00:00
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,Philadelphia,PA,19127.0,40.0224662,-75.218314,3.0,41,0,"Pizza, Restaurants, Salad, Soup",Closed,17:00-21:30,17:00-01:30,17:00-01:30,17:00-00:30,17:00-00:30,17:00-21:30
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123.0,39.9625821,-75.1356571,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",Closed,Closed,16:00-22:00,16:00-22:00,16:00-19:00,11:00-23:00,11:00-20:00
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Philadelphia,PA,19104.0,39.954573,-75.1948936,3.0,56,1,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",Closed,Closed,Closed,Closed,Closed,Closed,Closed
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,PA,19130.0,39.963077709,-75.1680274529,3.0,137,1,"Restaurants, Chinese",Closed,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,12:00-22:30
WYYdQDjx-DsCanlP0DpImQ,J Sushi,243 S 10th St,Philadelphia,PA,19107.0,39.9470334,-75.1574339,4.5,72,0,"Seafood, Restaurants, Sushi Bars, Japanese",Closed,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:30,12:00-22:30,12:00-22:00
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,700 E. Hunting Park,Philadelphia,PA,19124.0,40.012141,-75.1150148,1.5,15,1,"Burgers, Restaurants, Fast Food",10:00-02:00,10:00-02:00,10:00-02:00,10:00-02:00,10:00-02:00,10:00-02:00,10:00-02:00
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147.0,39.9385518,-75.1496356,4.5,183,1,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104.0,39.9516153765,-75.2033457223,4.0,46,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",Closed,Closed,Closed,Closed,Closed,Closed,Closed
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,2609 Edgemont St,Philadelphia,PA,19125.0,39.9768798,-75.1161695,4.5,12,1,"Food, Bakeries, Restaurants",Closed,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:00,08:00-14:00
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,219 S 52nd St,Philadelphia,PA,19139.0,39.9563959,-75.2253784,4.5,66,1,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",09:00-22:00,09:00-22:00,09:00-22:00,09:00-23:00,09:00-23:00,09:00-23:00,11:00-20:00
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,300 South St,Philadelphia,PA,19147.0,39.9412993,-75.1477446,3.0,178,0,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars",11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-02:00,11:00-02:00,11:00-00:00
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,2101 Pennsylvania Ave,Philadelphia,PA,19130.0,39.963042,-75.1741858944,4.5,11,1,"Sandwiches, Chicken Wings, Restaurants, Donuts, Food",08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00
